cond,leg,P_imp_over_median,spikes
verified+G3,rm,1.4180797465040038,2986
verified+G3,rh,1.308152648370104,3942
verified+G3,lf,2.1728200201360255,3472
verified+G3,lm,2.026757527048832,2878
verified+G3,lh,1.7148356562430194,4831
verified+G3,rf,2.080461154233929,4295
verified+G3,rm,1.0441547560926017,3113
verified+G3,rh,1.1588323032775887,4253
verified+G3,lf,1.6313752376832678,3418
verified+G3,lm,3.0405803125371658,3157
verified+G3,lh,1.5692723009758323,4609
verified+G3,rf,1.0165428991490106,3838
verified+G3,rm,1.2892403269489972,3049
verified+G3,rh,0.4124132324039821,4218
verified+G3,lf,1.0791460879625405,3439
verified+G3,lm,1.7646612638259969,3308
verified+G3,lh,0.5780047552636426,4779
verified+G3,rf,1.3385264908332692,4430
verified+G3,rm,2.5199995979389485,3163
verified+G3,rh,1.3061547564389422,4019
verified+G3,lf,1.8288387994443265,3529
verified+G3,lm,1.9086037128033182,3051
verified+G3,lh,1.227868697288349,4594
verified+G3,rf,0.8181028348735881,3887
verified+G3,rm,1.0661493280860597,2997
verified+G3,rh,1.0829890857339288,3921
verified+G3,lf,1.7728139553000628,3453
verified+G3,lm,1.3137604147001438,2953
verified+G3,lh,1.269202087368517,4723
verified+G3,rf,1.262466685353576,3785
verified+G3,rm,1.652572730647275,2969
verified+G3,rh,1.5906101235598948,3985
verified+G3,lf,2.5722745015317257,3494
verified+G3,lm,2.752040028352291,3356
verified+G3,lh,1.4944935514975235,4862
verified+G3,rf,2.610439053496147,4502
verified+G3,rm,1.2388972776001408,3152
verified+G3,rh,0.890534526441545,4095
verified+G3,lf,2.5271648422395625,3537
verified+G3,lm,2.54584999136209,3381
verified+G3,lh,1.67484312170293,4619
verified+G3,rf,0.858195412918002,4298
verified+G3,rm,1.3023594933921905,3097
verified+G3,rh,1.0103709664354503,4131
verified+G3,lf,0.7609831647271869,3387
verified+G3,lm,0.6530235995553073,3105
verified+G3,lh,1.0994537568404128,4698
verified+G3,rf,1.2896941766618182,4329
verified+G3,rm,1.3630815723214789,3154
verified+G3,rh,1.620990422800162,4060
verified+G3,lf,2.5751314881276284,3566
verified+G3,lm,1.4760353597872258,3218
verified+G3,lh,1.1451651743465534,4683
verified+G3,rf,1.1221237181747905,4305
