mode,leg,kind,target,n_sensors,n_mn,E1,I1,bal1,E2,I2,bal2
verified,rf,hair,all,44,70,2202.0,44.0,0.9608192341941229,606346.0,1694946.0,-0.4730386235210482
verified,rf,hair,FTi_flexor,44,16,5.0,6.0,-0.09090909090909091,57319.0,109097.0,-0.3111359484664936
verified,rf,hair,FTi_extensor,44,2,3.0,0.0,1.0,21085.0,70714.0,-0.5406268042135535
verified,rf,cs,all,25,70,466.0,15.0,0.9376299376299376,180151.0,323349.0,-0.2844051638530288
verified,rf,cs,FTi_flexor,25,16,78.0,1.0,0.9746835443037974,17963.0,66922.0,-0.5767685692407375
verified,rf,cs,FTi_extensor,25,2,20.0,4.0,0.6666666666666666,17320.0,18943.0,-0.04475636323525357
verified,rm,claw,all,13,63,380.0,0.0,1.0,242973.0,617078.0,-0.43498001862680236
verified,rm,claw,FTi_flexor,13,17,220.0,0.0,1.0,126442.0,242858.0,-0.3152342269157866
verified,rm,claw,FTi_extensor,13,2,55.0,0.0,1.0,23181.0,132458.0,-0.7021183636492139
verified,rm,hook,all,23,63,558.0,0.0,1.0,133431.0,377465.0,-0.47765885816291376
verified,rm,hook,FTi_flexor,23,17,320.0,0.0,1.0,57484.0,134761.0,-0.40197144269031704
verified,rm,hook,FTi_extensor,23,2,67.0,0.0,1.0,23853.0,51138.0,-0.36384366123934875
verified,rm,club,all,55,63,58.0,0.0,1.0,140251.0,369007.0,-0.449194710736012
verified,rm,club,FTi_flexor,55,17,38.0,0.0,1.0,19603.0,214613.0,-0.8326075075998224
verified,rm,club,FTi_extensor,55,2,11.0,0.0,1.0,14482.0,4044.0,0.563424376551873
verified,rm,hair,all,46,63,1416.0,27.0,0.9625779625779626,827904.0,1970427.0,-0.40828729696379734
verified,rm,hair,FTi_flexor,46,17,117.0,0.0,1.0,193365.0,380882.0,-0.32654415260332226
verified,rm,hair,FTi_extensor,46,2,11.0,0.0,1.0,66758.0,58421.0,0.06660062790084599
verified,rm,cs,all,2,63,7.0,0.0,1.0,5820.0,3193.0,0.29146787972927996
verified,rm,cs,FTi_flexor,2,17,7.0,0.0,1.0,2020.0,226.0,0.798753339269813
verified,rm,cs,FTi_extensor,2,2,0.0,0.0,,277.0,583.0,-0.3558139534883721
verified,rh,claw,all,25,63,632.0,0.0,1.0,253757.0,1169539.0,-0.6434234340572867
verified,rh,claw,FTi_flexor,25,18,355.0,0.0,1.0,121748.0,636469.0,-0.6788571081893442
verified,rh,claw,FTi_extensor,25,2,151.0,0.0,1.0,30407.0,104375.0,-0.5487973171491742
verified,rh,hook,all,24,63,509.0,0.0,1.0,100420.0,319186.0,-0.5213605143873062
verified,rh,hook,FTi_flexor,24,18,346.0,0.0,1.0,35034.0,152103.0,-0.6255791211786018
verified,rh,hook,FTi_extensor,24,2,72.0,0.0,1.0,19164.0,31725.0,-0.2468313387962035
verified,rh,club,all,71,63,79.0,0.0,1.0,39000.0,138596.0,-0.5608009189396158
verified,rh,club,FTi_flexor,71,18,37.0,0.0,1.0,16316.0,49863.0,-0.50691306910047
verified,rh,club,FTi_extensor,71,2,0.0,0.0,,2727.0,9866.0,-0.5669022472802351
verified,rh,hair,all,40,63,1347.0,0.0,1.0,413608.0,1477831.0,-0.5626525624141197
verified,rh,hair,FTi_flexor,40,18,59.0,0.0,1.0,98601.0,265172.0,-0.45789819475332144
verified,rh,hair,FTi_extensor,40,2,9.0,0.0,1.0,44378.0,74758.0,-0.2550026860059092
verified,rh,cs,all,2,63,8.0,0.0,1.0,2040.0,730.0,0.4729241877256318
verified,rh,cs,FTi_flexor,2,18,1.0,0.0,1.0,703.0,58.0,0.8475689881734559
verified,rh,cs,FTi_extensor,2,2,0.0,0.0,,81.0,246.0,-0.5045871559633027
verified_gluexc,lf,claw,all,27,69,265.0,0.0,1.0,466073.0,441136.0,0.027487602085076317
verified_gluexc,lf,claw,FTi_flexor,27,17,27.0,0.0,1.0,48962.0,74987.0,-0.20996538899063324
verified_gluexc,lf,claw,FTi_extensor,27,2,35.0,0.0,1.0,9062.0,15996.0,-0.2767180142070397
verified_gluexc,lf,hook,all,27,69,149.0,0.0,1.0,145148.0,169865.0,-0.07846342849342726
verified_gluexc,lf,hook,FTi_flexor,27,17,31.0,0.0,1.0,31658.0,14550.0,0.37023891966759004
verified_gluexc,lf,hook,FTi_extensor,27,2,4.0,0.0,1.0,2409.0,14897.0,-0.7215994452790939
verified_gluexc,lf,club,all,59,69,8.0,0.0,1.0,18456.0,20404.0,-0.050128667009778693
verified_gluexc,lf,club,FTi_flexor,59,17,1.0,0.0,1.0,3123.0,1613.0,0.3188344594594595
verified_gluexc,lf,club,FTi_extensor,59,2,0.0,0.0,,128.0,708.0,-0.69377990430622
verified_gluexc,lf,hair,all,36,69,1993.0,3.0,0.996993987975952,1513065.0,824519.0,0.29455454862798514
verified_gluexc,lf,hair,FTi_flexor,36,17,1.0,0.0,1.0,87802.0,13794.0,0.7284538761368557
verified_gluexc,lf,hair,FTi_extensor,36,2,0.0,0.0,,12861.0,9443.0,0.15324605451936874
verified_gluexc,lf,cs,all,29,69,322.0,41.0,0.7741046831955923,458031.0,291760.0,0.2217564628009672
verified_gluexc,lf,cs,FTi_flexor,29,17,7.0,0.0,1.0,36190.0,17876.0,0.3387341397551141
verified_gluexc,lf,cs,FTi_extensor,29,2,0.0,0.0,,15283.0,6654.0,0.3933536946711036
verified_gluexc,lm,claw,all,34,63,576.0,0.0,1.0,426346.0,553734.0,-0.12997714472287977
verified_gluexc,lm,claw,FTi_flexor,34,16,262.0,0.0,1.0,151069.0,231795.0,-0.21084771616030756
verified_gluexc,lm,claw,FTi_extensor,34,2,137.0,0.0,1.0,28092.0,85046.0,-0.5034029238628931
verified_gluexc,lm,hook,all,20,63,398.0,0.0,1.0,157641.0,183743.0,-0.07645935368968669
verified_gluexc,lm,hook,FTi_flexor,20,16,114.0,0.0,1.0,35937.0,50635.0,-0.16977775724252644
verified_gluexc,lm,hook,FTi_extensor,20,2,45.0,0.0,1.0,10886.0,14879.0,-0.15497768290316322
verified_gluexc,lm,club,all,53,63,57.0,0.0,1.0,87032.0,155004.0,-0.2808342560610818
verified_gluexc,lm,club,FTi_flexor,53,16,49.0,0.0,1.0,12168.0,85811.0,-0.7516202451545739
verified_gluexc,lm,club,FTi_extensor,53,2,8.0,0.0,1.0,7163.0,1493.0,0.6550369685767098
verified_gluexc,lm,hair,all,32,63,1095.0,0.0,1.0,934552.0,742311.0,0.11464323561316578
verified_gluexc,lm,hair,FTi_flexor,32,16,80.0,0.0,1.0,153733.0,39568.0,0.5906073946849731
verified_gluexc,lm,hair,FTi_extensor,32,2,2.0,0.0,1.0,61425.0,75521.0,-0.10293108232441985
verified_gluexc,lm,cs,all,2,63,22.0,0.0,1.0,4073.0,1612.0,0.43289357959542657
verified_gluexc,lm,cs,FTi_flexor,2,16,7.0,0.0,1.0,1276.0,48.0,0.9274924471299094
verified_gluexc,lm,cs,FTi_extensor,2,2,0.0,0.0,,117.0,229.0,-0.3236994219653179
verified_gluexc,lh,claw,all,38,63,789.0,0.0,1.0,601409.0,1131448.0,-0.30587578778860575
verified_gluexc,lh,claw,FTi_flexor,38,17,422.0,0.0,1.0,232323.0,566648.0,-0.4184444742049461
verified_gluexc,lh,claw,FTi_extensor,38,2,163.0,0.0,1.0,81078.0,107346.0,-0.13940899248503374
verified_gluexc,lh,hook,all,22,63,787.0,0.0,1.0,173835.0,351390.0,-0.33805511923461373
verified_gluexc,lh,hook,FTi_flexor,22,17,447.0,0.0,1.0,81103.0,114814.0,-0.17206776338959864
verified_gluexc,lh,hook,FTi_extensor,22,2,73.0,0.0,1.0,17987.0,83756.0,-0.6464228497292197
verified_gluexc,lh,club,all,56,63,54.0,0.0,1.0,43908.0,66998.0,-0.2081943267271383
verified_gluexc,lh,club,FTi_flexor,56,17,22.0,0.0,1.0,13033.0,22615.0,-0.2687948833034111
verified_gluexc,lh,club,FTi_extensor,56,2,0.0,0.0,,1721.0,5159.0,-0.4997093023255814
verified_gluexc,lh,hair,all,36,63,1345.0,0.0,1.0,1098494.0,1070700.0,0.012813054065242666
verified_gluexc,lh,hair,FTi_flexor,36,17,87.0,0.0,1.0,245784.0,163361.0,0.20145180803871487
verified_gluexc,lh,hair,FTi_extensor,36,2,10.0,0.0,1.0,73484.0,38353.0,0.314126809553189
verified_gluexc,lh,cs,all,2,63,19.0,0.0,1.0,4079.0,1818.0,0.3834152959131762
verified_gluexc,lh,cs,FTi_flexor,2,17,5.0,0.0,1.0,1515.0,40.0,0.9485530546623794
verified_gluexc,lh,cs,FTi_extensor,2,2,0.0,0.0,,129.0,392.0,-0.5047984644913628
verified_gluexc,rf,claw,all,25,70,452.0,6.0,0.9737991266375546,280032.0,445803.0,-0.22838661679307282
verified_gluexc,rf,claw,FTi_flexor,25,16,129.0,5.0,0.9253731343283582,60504.0,114105.0,-0.3069773035754171
verified_gluexc,rf,claw,FTi_extensor,25,2,97.0,1.0,0.9795918367346939,15401.0,63597.0,-0.6100913947188537
verified_gluexc,rf,hook,all,26,70,293.0,0.0,1.0,129700.0,196141.0,-0.2039061996495223
verified_gluexc,rf,hook,FTi_flexor,26,16,90.0,0.0,1.0,35907.0,43103.0,-0.09107707885077838
verified_gluexc,rf,hook,FTi_extensor,26,2,82.0,0.0,1.0,5914.0,27333.0,-0.6442385779168045
verified_gluexc,rf,club,all,47,70,37.0,0.0,1.0,28116.0,32402.0,-0.0708219042268416
verified_gluexc,rf,club,FTi_flexor,47,16,7.0,0.0,1.0,5665.0,5216.0,0.041264589651686424
verified_gluexc,rf,club,FTi_extensor,47,2,23.0,0.0,1.0,2144.0,1224.0,0.27315914489311166
verified_gluexc,rf,hair,all,44,70,2202.0,44.0,0.9608192341941229,1434123.0,867169.0,0.24636334719800876
