kind,group,vnc_scale,combo,mn_active,ball_speed,lf_A,lf_A_hz,lf_imposed_hz,lf_reflex,lf_CTr_r,lf_FTi_r,lm_A,lm_A_hz,lm_imposed_hz,lm_reflex,lm_CTr_r,lm_FTi_r,lh_A,lh_A_hz,lh_imposed_hz,lh_reflex,lh_CTr_r,lh_FTi_r,rf_A,rf_A_hz,rf_imposed_hz,rf_reflex,rf_CTr_r,rf_FTi_r,rm_A,rm_A_hz,rm_imposed_hz,rm_reflex,rm_CTr_r,rm_FTi_r,rh_A,rh_A_hz,rh_imposed_hz,rh_reflex,rh_CTr_r,rh_FTi_r
imposed,G3_top20_drive,1.0,00,131.2,0.005909515696029819,False,,11.5,False,-0.08042274755589243,0.08889486248645648,False,,11.0,False,0.2433179436020584,0.04629502479297167,False,,11.0,False,0.30711301252381423,0.16134621104014832,False,,11.5,False,0.18259118863868984,0.12997220052715225,False,,10.5,False,0.16885524359738005,0.06806330251868871,False,19.0,10.5,False,0.26758473569474905,0.17409054798240775
imposed,G3_top20_drive,1.0,01,132.0,0.005909515696029819,False,,11.5,False,-0.06569531546915278,0.11677568827544119,False,,11.0,False,0.23140331349658866,0.04383698156109081,False,,11.0,False,0.2751232860964805,0.15245963459877337,False,,11.5,False,0.15541281516691138,0.13511224097087698,False,,10.5,False,0.18578349879328362,0.09681583264376423,False,,10.5,False,0.25742506792281417,0.13262084618846864
imposed,G3_top20_drive,1.0,10,133.4,0.005909515696029819,False,,11.5,False,-0.09598687733917517,0.10260753354385374,False,,11.0,False,0.22007239899276998,0.08753520866992151,False,,11.0,False,0.24184047110818022,0.1776389603724881,False,,11.5,False,0.19294802828688798,0.1589372994537917,False,,10.5,False,0.20327916937353846,0.10093140287337672,False,,10.5,False,0.24000234613288854,0.13595996275052022
imposed,G3_top20_drive,1.0,11,135.2,0.005909515696029819,False,,11.5,False,-0.17239973493702404,0.09256491755063975,False,,11.0,False,0.21844615269408382,0.09105634223271145,False,,11.0,False,0.24408060862753583,0.13334795797707988,False,,11.5,False,0.1779194645354681,0.1514365140240602,False,,10.5,False,0.15200803903327292,0.10848510304166932,False,,10.5,False,0.25486378229586437,0.11691740314091663
imposed,none,1.0,00,87.4,0.005909515696029819,False,,11.5,False,-0.036656993258906215,,False,,11.0,False,-0.03706074861048258,,False,,11.0,False,-0.03620169254426917,-0.03375797069502127,False,11.0,11.5,False,-0.03547411839000994,0.059327324970994466,False,,10.5,False,-0.03664349249403771,-0.02104162945592176,False,,10.5,False,-0.09849123146921845,0.17021526416235225
imposed,none,1.0,01,85.4,0.005909515696029819,False,,11.5,False,-0.02502222643817869,,False,,11.0,False,-0.041079097892050526,,False,,11.0,False,-0.015755790655272973,-0.005005899339017008,False,11.0,11.5,False,,0.06014856420156099,False,,10.5,False,-0.03229239139709881,0.008026413350774366,False,,10.5,False,-0.0962344362744094,0.07936569277331246
imposed,none,1.0,10,97.4,0.005909515696029819,False,,11.5,False,-0.03290194522050396,,False,,11.0,False,-0.02260016429132526,-0.03007729571245244,False,,11.0,False,-0.039055985217091374,-0.06998167425418579,False,11.0,11.5,False,-0.040252943008918095,0.1042349174199432,False,,10.5,False,-0.03633154710983281,-0.038418166851869356,False,,10.5,False,-0.10877463187588463,0.013152790092106265
imposed,none,1.0,11,97.8,0.005909515696029819,False,,11.5,False,-0.06596157130319535,,False,,11.0,False,-0.019728118785415766,-0.033556901971355795,False,,11.0,False,-0.017115848051825967,-0.02633529719339208,False,11.0,11.5,False,,0.05047241111955423,False,,10.5,False,-0.04390453827204772,-0.0398911381743523,False,,10.5,False,-0.12340305928976611,0.05701205143240836
