kind,group,vnc_scale,combo,mn_active,ball_speed,lf_A,lf_A_hz,lf_B,lf_CTr_r,lf_FTi_r,lm_A,lm_A_hz,lm_B,lm_CTr_r,lm_FTi_r,lh_A,lh_A_hz,lh_B,lh_CTr_r,lh_FTi_r,rf_A,rf_A_hz,rf_B,rf_CTr_r,rf_FTi_r,rm_A,rm_A_hz,rm_B,rm_CTr_r,rm_FTi_r,rh_A,rh_A_hz,rh_B,rh_CTr_r,rh_FTi_r
closed,G2_DNp09_DNa01_DNa02,1.0,00,66.2,0.23645263626202362,False,,False,-0.03155448477349439,,False,,False,-0.08466675133346034,,False,,False,-0.04862521751213715,-0.029131137347362675,False,,False,0.0038278397838224,-0.008938808137152697,False,,False,-0.009572336863238799,-0.009866972511773358,False,,False,-0.05605320258230757,-0.051554682439728286
closed,G2_DNp09_DNa01_DNa02,1.0,01,66.0,0.2628406357600655,False,,False,-0.011583253604779657,,False,,False,-0.0685668518107223,,False,,False,-0.014598127501166151,-0.0174393462604091,False,,False,-0.01889005590092727,,False,,False,,-0.027686659482097132,False,,False,-0.07595323184021603,
closed,G2_DNp09_DNa01_DNa02,1.0,10,77.4,0.2435558660742529,False,,False,-0.06520511216190805,,False,,False,-0.046662730850816486,-0.01731744758804408,False,,False,-0.028313331330337234,-0.005689205635412531,False,16.0,False,-0.05934275218154438,0.008394222320320398,False,,False,-0.005812283757551334,-0.045415259216748924,False,,False,-0.02062268766652173,-0.010101010101010147
closed,G2_DNp09_DNa01_DNa02,1.0,11,73.6,0.2466566105756967,False,,False,-0.052605721606925476,,False,,False,-0.054039838075180494,-0.01860734510762584,False,,False,-0.05206925051383336,0.03077159018057487,False,,False,-0.03478877792787985,0.09278871992899675,False,,False,-0.005275012140673373,-0.07273783717324804,False,,False,-0.07813783499941984,-0.007956646929280721
closed,G2_DNp09_DNa01_DNa02,2.0,00,108.2,0.35401164243779126,False,,False,-0.15531401573092188,-0.034582625097270586,False,,False,-0.06659690340008825,,False,,False,-0.019522294107600202,-0.018903086439657744,False,,False,-0.14702717196203818,0.027606315031138105,False,,False,-0.004737740523795421,-0.028865258660465135,False,,False,-0.07909119260431809,0.04151109139048356
closed,G2_DNp09_DNa01_DNa02,2.0,01,106.8,0.370153830351709,False,,False,-0.10344955528958093,,False,,False,-0.07660653645202906,,False,,False,0.04783985175572241,-0.010263729810776879,False,,False,-0.12865906935941557,-0.06648980414325216,False,,False,-0.010920060519770826,0.08301484923014615,False,,False,-0.040579447994603286,
closed,G2_DNp09_DNa01_DNa02,2.0,10,141.0,0.3145249390123367,False,,False,-0.1372851208142891,-0.06926415199382151,False,,False,-0.11578290909594446,-0.05963169674341366,False,,False,-0.0196537468607823,0.02992431622932481,False,,False,-0.11503491737500002,-0.004083429733525834,False,,False,-0.013883359210969119,-0.1442145473004644,False,,False,-0.05322263831221128,0.3249299589401883
closed,G2_DNp09_DNa01_DNa02,2.0,11,142.0,0.32505348816930657,False,,False,-0.10871675679943398,-0.05497238591582745,False,,False,-0.11870060867773495,-0.060150282298017034,False,,False,-0.05301684905752786,0.058969092202095695,False,,False,-0.10529213351965235,-0.0631051172832733,False,,False,-0.012058020062573142,-0.17176922114777787,False,,False,-0.0844133971379357,0.3331546694836371
closed,G3_top20_drive,1.0,00,126.6,0.4979983705958923,False,,False,-0.05271614428473622,0.10925489634874161,False,,False,0.2609842389544843,0.11044095831642683,False,,False,0.26245638766218937,0.20149197772358013,False,,False,0.17780657109289857,0.12165007785503398,False,,False,0.17563713429308728,0.12204826023519053,False,,False,0.2861829845161704,0.1374253282445234
closed,G3_top20_drive,1.0,01,125.0,0.530026299649597,False,,False,-0.03865353534719705,0.08333992260975649,False,,False,0.25331315965012485,0.0920255985656924,False,,False,0.2566344909795147,0.1529201044545773,False,,False,0.26990954511763005,0.18412577727772805,False,,False,0.18169859610988642,0.15191192228216893,False,,False,0.31355840293385595,0.127501464183326
